Title,Company,Location,Skills,Description,Apply_Link
Mathnasium Math Tutor/Instructor,Mathnasium,"Sterling, VA",Math,Mathnasium is looking for After School Math Tutor educators who love working with children. Candidates must be open to learning unique teaching methods and must be comfortable teaching first grade up through at least algebra. Candidates that are comfortable in geometry/algebra2/precalc/calc are preferred. Strong people skills are a must for this position.,https://www.mathnasium.com/how-it-works
AFRRI Armed Forces Radiobiology Research Institute  Summer Internship ,(US) Department of Navy ,"Washington, D.C.",STEM,"The Science and Engineering Apprenticeship Program (SEAP) places high school students in Department of Navy (DoN) laboratories where they take part in real Naval research for eight weeks during the summer. SEAP gives academically talented sophomores, juniors, and seniors interested in STEM the opportunity to learn about Naval research and technology while receiving first-class mentoring by top scientists and engineers. This internship is specifically for the AFRRI Armed Forces Radiobiology Research Institute in Bethesda, MD.",https://www.navalsteminterns.us/seap/labs.html
NMRC Navy Medical Research Center Summer Internship,(US) Department of Navy ,"Washington, D.C.",STEM,"The Science and Engineering Apprenticeship Program (SEAP) places high school students in Department of Navy (DoN) laboratories where they take part in real Naval research for eight weeks during the summer. SEAP gives academically talented sophomores, juniors, and seniors interested in STEM the opportunity to learn about Naval research and technology while receiving first-class mentoring by top scientists and engineers. This internship is specifically for the NMRC Navy Medical Research Center in Silver Spring, MD.",https://www.navalsteminterns.us/seap/labs.html
Science and Engineering Apprenticeship Program,(US) Department of Navy,"Washington, D.C.",STEM,"The Science and Engineering Apprenticeship Program (SEAP) places high school students in Department of Navy (DoN) laboratories where they take part in real Naval research for eight weeks during the summer. SEAP gives academically talented sophomores, juniors, and seniors interested in STEM the opportunity to learn about Naval research and technology while receiving first-class mentoring by top scientists and engineers.",https://www.navalsteminterns.us/seap/
Federal Internship Portal (USA Jobs),US Department of Treasury,"Washington, D.C.",Finance,"Treasury student internships are unpaid opportunities in Washington, D.C. designed to provide high school, undergraduate, and graduate students with work experience and direct exposure to federal careers. Internships at Treasury give students a unique opportunity to gain substantive career experience related to academic interests.",https://intern.usajobs.gov/Search/Results?hp=student&wt=15328&s=salary&sd=desc&p=1
Recreation Instructor (Baseball),Town of Leesburg,"Leesburg, VA",Baseball,"Knowledge, skills and experience related to teaching baseball; must be available Saturdays; preferred requirement: baseball coaching/instructing experience; various days and times. Must be at least 16 years old, high school student or graduate.",https://www.governmentjobs.com/careers/leesburgva/jobs/4137165/recreation-instructor-baseball?sort=PostingDate%7CDescending&pagetype=jobOpportunitiesJobs
Student Expeditions,The Ecology Project International,Costa Rica,Ecology,"Founded as a nonprofit organization in 2001, Ecology Project International creates positive long-term environmental impacts through its science education programs, conservation initiatives, and engagement with local communities and partners. All of EPI's education programs utilize conservation projects, partnerships with scientists, and engagement with local communities to teach key components.",https://www.ecologyproject.org/
Brand Ambassadors and Tutors,STEPS,"Leesburg, VA",STEM,"STEPS is a non-profit 501(c)3 organization that provides affordable tutoring and college advising services to students across the East coast. Our profits fund grants given to local non-profit organizations serving low-income communities as well as other projects and services aimed at leveling the education gap. STEPS is looking for high-quality tutors to ensure that our clients receive the best resources possible for success. If you would like to be a tutor for STEPS, please fill out the following application to the best of your ability. All of the required questions must be answered to be considered. We are looking for high school sophomores, juniors, and seniors and encourage underclassmen to hold off applying. All applications will be seen as holistically as possible. Potential tutors will be given an interview through a call with one of our CHRO or a Regional Director.",https://www.stepseducation.org/get-involved
Sustainable Summer Program,Sustainable Summer,"Atlanta,GA",Sustainability,"In keeping with one of the most essential aspects of what makes a Sustainable Summer program what it is, our online programs are designed to allow for collaboration between students. Consequently, courses will meet in real time (rather than asynchronously) with breakout sessions and group project work occurring outside of classroom hours. Admission is currently open for certain programs. Click on the different available programs for more details about application deadlines and program dates.",https://sustainablesummer.org/?fbclid=IwAR3LdL_Jv23nuGrDBdQxhkI4E4OGozNaBG82iBYGa1VIrKHJ3Sz37uSzxWM
Summer STEM Camps and Paid Summer Internships,NOVA SySTEMic Solutions,"Fairfax, VA",STEM,"At NOVA SySTEMic, we have the most exciting and educational summer STEM camps in Northern Virginia! Led by STEM teachers and college students enrolled in STEM programs, our STEM Camp program introduces Science, Technology, Engineering, and Math to thousands of grade-school students. NOVA is also recruiting high school and college students for paid summer STEM internships in support of our camps. See below for more info.",https://www.nvcc.edu/systemic/camps.html
Volunteer - Library,LCPL,"Ashurn, VA",Organization,"The Loudoun Library Foundation (LLF) is an independent, all-volunteer non-profit organization dedicated to promoting literacy and supporting libraries in Loudoun County. All libraries open to the public in Loudoun County may apply for grants to fund special projects. Our annual used-book sale offers inexpensive books to the community and all proceeds directly fund grant programs. Since its inception, the LLF has raised over $1 million in support of summer reading and adult programs.",https://library.loudoun.gov/LLF
EPICS Fall Proposals for Student-Service Learning Projects,IEEE (Institute of Electrical and Electronics Engineers),Various,STEM,"IEEE members submit project proposals for funding from EPICS in IEEE. The project must involve a non-profit organization partner, and must provide a technical solution in IEEE fields of interests to problems in one or more of the EPICS in IEEE categories. Collaboration with a local high school is also encouraged. Applications are accepted throughout the year.",https://epics.ieee.org/
Field Assistant (Skilled Trades),PEG,Various,STEM,"PEG, LLC is in its twenty-fifth year being a diverse energy efficiency, engineering, environmental and management consulting firm operating principally in the Eastern and Central United States. The geographical area assigned to this position aligns with the geographical area assigned to the Field Engineer working with the Field Assistant. The role involves assisting Field Engineers as they perform Home Energy Audits in accordance with New Construction RESNET/Energy Star Guidelines.",https://pegllc.bamboohr.com/careers/275
Historical Transcription Volunteer,Smithsonian Digital Volunteer,Virtual,History,"You simply have to create an account on the Smithsonian website, where you can obtain information on instructions and tips on transcription skills, keep track of your virtual volunteer record, and of course, get involved with different projects on history and arts. You can work on projects about African American History, the Civil War, and more! Plus, if you speak any other languages, show off those skills by participating in projects about world culture! Not only will you gain virtual volunteer hours, you will also be a part of something bigger in collaboration with other digital volunteers, Smithsonian librarians, and museum staff. This virtual volunteer opportunity is definitely one of a kind, so sign up for an account now and start transcribing!",https://transcription.si.edu/
Short Term Research Experience Program to Unlock Potential (STEP-UP) Internship,National Institute of Diabetes & Digestive and Kidney Disease,Various,Biomedical,"Get experience in research and hands-on lab work and promote diversity in Stem by taking part in the diversity and equity focused research program offered through Short-Term Research Experience Program to Unlock Potential (STEP-UP). With a focus on inclusion and representation for underrepresented students, this research program allows you to work with experienced researchers at nearly any location in the U.S.. You can even get paid a generous stipend for your efforts in this diversity and equity focused research program, which can be put towards housing and other costs if you choose a research location far from home! Research topics range from engineering to health- there are almost limitless choices.",https://www.niddk.nih.gov/research-funding/research-programs/diversity-programs/research-training-opportunities-students/step-up
